quote,author,tags,quote_clean,meta
"“The individual has always had to struggle to keep from being overwhelmed by the tribe. If you try it, you will be lonely often, and sometimes frightened. But no price is too high to pay for the privilege of owning yourself.”",Friedrich Nietzsche,['individuality'],"“the individual has always had to struggle to keep from being overwhelmed by the tribe. if you try it, you will be lonely often, and sometimes frightened. but no price is too high to pay for the privilege of owning yourself.”","Author: Friedrich Nietzsche, Tags: individuality"
"“Reality is that which, when you stop believing in it, doesn't go away.”","Philip K. Dick,","['belief', 'real-life', 'reality']","“reality is that which, when you stop believing in it, doesn't go away.”","Author: Philip K. Dick,, Tags: belief, real-life, reality"
"“When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.”",Nelson Mandela,"['crime', 'freedom', 'oppression']","“when a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.”","Author: Nelson Mandela, Tags: crime, freedom, oppression"
“We have to continually be jumping off cliffs and developing our wings on the way down.”,"Kurt Vonnegut,","['creativity', 'invention', 'quip', 'wings', 'writing']",“we have to continually be jumping off cliffs and developing our wings on the way down.”,"Author: Kurt Vonnegut,, Tags: creativity, invention, quip, wings, writing"
"“Confront the dark parts of yourself, and work to banish them with illumination and forgiveness. Your willingness to wrestle with your demons will cause your angels to sing.”",August Wilson,"['character', 'courage', 'self-assessment', 'self-esteem', 'strength']","“confront the dark parts of yourself, and work to banish them with illumination and forgiveness. your willingness to wrestle with your demons will cause your angels to sing.”","Author: August Wilson, Tags: character, courage, self-assessment, self-esteem, strength"
“Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.”,"Clive Barker,","['art', 'inspirational', 'love', 'redemption', 'sadness']",“any fool can be happy. it takes a man with real heart to make beauty out of the stuff that makes us weep.”,"Author: Clive Barker,, Tags: art, inspirational, love, redemption, sadness"
“Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut.”,Ernest Hemingway,['drinking'],“always do sober what you said you'd do drunk. that will teach you to keep your mouth shut.”,"Author: Ernest Hemingway, Tags: drinking"
“Do your thing and don't care if they like it.”,"Tina Fey,","['bossypants', 'humor', 'self-love', 'tina-fey']",“do your thing and don't care if they like it.”,"Author: Tina Fey,, Tags: bossypants, humor, self-love, tina-fey"
"“Acts of Kindness:A random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”","Roy T. Bennett,","['inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'kind', 'kindness', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","“acts of kindness:a random act of kindness, no matter how small, can make a tremendous impact on someone else's life.”","Author: Roy T. Bennett,, Tags: inspiration, inspirational, inspirational-quotes, inspire, inspiring, kind, kindness, life, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking"
"“So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and Â¾ percent guaranteed) Kid, you'll move mountains.”","Dr. Seuss,","['humor', 'inspirational', 'success']","“so be sure when you step, step with care and great tact. and remember that life's a great balancing act. and will you succeed? yes! you will, indeed! (98 and â¾ percent guaranteed) kid, you'll move mountains.”","Author: Dr. Seuss,, Tags: humor, inspirational, success"
